排名,电影名,评分,链接
1,肖申克的救赎,9.7,https://movie.douban.com/subject/1292052/
2,霸王别姬,9.6,https://movie.douban.com/subject/1291546/
3,泰坦尼克号,9.5,https://movie.douban.com/subject/1292722/
4,阿甘正传,9.5,https://movie.douban.com/subject/1292720/
5,千与千寻,9.4,https://movie.douban.com/subject/1291561/
6,星际穿越,9.4,https://movie.douban.com/subject/1889243/
7,美丽人生,9.5,https://movie.douban.com/subject/1292063/
8,这个杀手不太冷,9.4,https://movie.douban.com/subject/1295644/
9,盗梦空间,9.4,https://movie.douban.com/subject/3541415/
10,楚门的世界,9.4,https://movie.douban.com/subject/1292064/
11,辛德勒的名单,9.5,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,9.4,https://movie.douban.com/subject/3011091/
13,海上钢琴师,9.3,https://movie.douban.com/subject/1292001/
14,疯狂动物城,9.3,https://movie.douban.com/subject/25662329/
15,三傻大闹宝莱坞,9.2,https://movie.douban.com/subject/3793023/
16,机器人总动员,9.3,https://movie.douban.com/subject/2131459/
17,放牛班的春天,9.3,https://movie.douban.com/subject/1291549/
18,无间道,9.3,https://movie.douban.com/subject/1307914/
19,控方证人,9.6,https://movie.douban.com/subject/1296141/
20,寻梦环游记,9.1,https://movie.douban.com/subject/20495023/
21,大话西游之大圣娶亲,9.2,https://movie.douban.com/subject/1292213/
22,熔炉,9.3,https://movie.douban.com/subject/5912992/
23,触不可及,9.3,https://movie.douban.com/subject/6786002/
24,教父,9.3,https://movie.douban.com/subject/1291841/
25,哈利·波特与魔法石,9.2,https://movie.douban.com/subject/1295038/
