排名,电影名,评分,评价人数,导演,年份,国家,链接
1,肖申克的救赎,9.7,未知,弗兰克·德拉邦特 Frank Darabont,未知,未知,https://movie.douban.com/subject/1292052/
2,霸王别姬,9.6,未知,陈凯歌 Kaige Chen,未知,未知,https://movie.douban.com/subject/1291546/
3,泰坦尼克号,9.5,未知,詹姆斯·卡梅隆 James Cameron,未知,未知,https://movie.douban.com/subject/1292722/
4,阿甘正传,9.5,未知,罗伯特·泽米吉斯 Robert Zemeckis,未知,未知,https://movie.douban.com/subject/1292720/
5,千与千寻,9.4,未知,宫崎骏 Hayao Miyazaki,未知,未知,https://movie.douban.com/subject/1291561/
6,星际穿越,9.4,未知,克里斯托弗·诺兰 Christopher Nolan,未知,未知,https://movie.douban.com/subject/1889243/
7,美丽人生,9.5,未知,罗伯托·贝尼尼 Roberto Benigni,未知,未知,https://movie.douban.com/subject/1292063/
8,这个杀手不太冷,9.4,未知,吕克·贝松 Luc Besson,未知,未知,https://movie.douban.com/subject/1295644/
9,盗梦空间,9.4,未知,克里斯托弗·诺兰 Christopher Nolan,未知,未知,https://movie.douban.com/subject/3541415/
10,楚门的世界,9.4,未知,彼得·威尔 Peter Weir,未知,未知,https://movie.douban.com/subject/1292064/
11,辛德勒的名单,9.5,未知,史蒂文·斯皮尔伯格 Steven Spielberg,未知,未知,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,9.4,未知,莱塞·霍尔斯道姆 Lasse Hallström,未知,未知,https://movie.douban.com/subject/3011091/
13,海上钢琴师,9.3,未知,朱塞佩·托纳多雷 Giuseppe Tornatore,未知,未知,https://movie.douban.com/subject/1292001/
14,疯狂动物城,9.3,未知,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,未知,未知,https://movie.douban.com/subject/25662329/
15,三傻大闹宝莱坞,9.2,未知,拉库马·希拉尼 Rajkumar Hirani,未知,未知,https://movie.douban.com/subject/3793023/
16,机器人总动员,9.3,未知,安德鲁·斯坦顿 Andrew Stanton,未知,未知,https://movie.douban.com/subject/2131459/
17,放牛班的春天,9.3,未知,克里斯托夫·巴拉蒂 Christophe Barratier,未知,未知,https://movie.douban.com/subject/1291549/
18,无间道,9.3,未知,刘伟强 / 麦兆辉,未知,未知,https://movie.douban.com/subject/1307914/
19,控方证人,9.6,未知,比利·怀尔德 Billy Wilder,未知,未知,https://movie.douban.com/subject/1296141/
20,寻梦环游记,9.1,未知,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,未知,未知,https://movie.douban.com/subject/20495023/
21,大话西游之大圣娶亲,9.2,未知,刘镇伟 Jeffrey Lau,未知,未知,https://movie.douban.com/subject/1292213/
22,熔炉,9.3,未知,黄东赫 Dong-hyuk Hwang,未知,未知,https://movie.douban.com/subject/5912992/
23,触不可及,9.3,未知,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,未知,未知,https://movie.douban.com/subject/6786002/
24,教父,9.3,未知,弗朗西斯·福特·科波拉 Francis Ford Coppola,未知,未知,https://movie.douban.com/subject/1291841/
25,哈利·波特与魔法石,9.2,未知,Chris Columbus,未知,未知,https://movie.douban.com/subject/1295038/
26,末代皇帝,9.3,未知,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,未知,未知,https://movie.douban.com/subject/1293172/
27,当幸福来敲门,9.1,未知,加布里尔·穆奇诺 Gabriele Muccino,未知,未知,https://movie.douban.com/subject/1849031/
28,龙猫,9.2,未知,宫崎骏 Hayao Miyazaki,未知,未知,https://movie.douban.com/subject/1291560/
29,活着,9.3,未知,张艺谋 Yimou Zhang,未知,未知,https://movie.douban.com/subject/1292365/
30,怦然心动,9.1,未知,罗伯·莱纳 Rob Reiner,未知,未知,https://movie.douban.com/subject/3319755/
31,蝙蝠侠：黑暗骑士,9.2,未知,克里斯托弗·诺兰 Christopher Nolan,未知,未知,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,9.3,未知,彼得·杰克逊 Peter Jackson,未知,未知,https://movie.douban.com/subject/1291552/
